askingPrice(million);squareMeter;roomNumber;builtYear;floor;kr/sqm
2.66;45;2;1897;1;59111
8.65;101;5;2019;4;85644
4.05;67;3;1958;1;60448
38.00;295;5;2007;8;128814
4.19;68;5;1962;2;61618
3.79;42;2;2004;3;90238
3.48;44;2;2006;3;79091
1.84;29;1;1973;1;63448
7.60;93;4;1938;5;81720
2.96;46;2;1936;2;64348
3.09;37;5;1937;5;83514
2.60;36;1;1936;4;72222
5.60;66;3;1938;2;84848
4.11;50;3;1929;1;82200
3.40;46;2;1964;5;73913
3.67;57;2;1929;3;64386
4.26;56;3;1933;5;76071
3.61;51;2;1939;4;70784
3.40;45;2;1961;4;75556
2.82;33;2;1960;2;85455
3.81;54;3;1923;1;70556
2.85;37;1;2012;1;77027
3.49;55;2;1931;1;63455
3.89;57;2;1934;4;68246
3.28;58;2;1939;5;56552
3.33;51;2;1899;1;65294
14.10;139;5;1931;5;101439
4.19;57;3;1914;1;73509
5.98;67;3;1937;6;89254
3.31;42;2;1935;5;78810
3.20;36;2;1939;2;88889
2.95;37;1;1939;5;79730
7.90;93;4;1933;3;84946
4.60;63;3;1931;5;73016
3.30;57;3;1956;2;57895
4.75;80;3;1933;1;59375
8.95;90;4;1933;5;99444
4.00;43;2;2019;8;93023
3.30;47;2;1889;3;70213
3.40;64;3;1960;1;53125
3.50;38;5;2018;5;92105
4.75;62;3;1960;3;76613
5.28;75;4;2018;3;70400
16.00;112;3;2019;10;142857
6.99;83;4;2014;6;84217
3.11;88;3;1968;4;35341
4.39;50;3;2018;4;87800
7.50;87;3;2018;1;86207
3.65;92;4;1981;3;39674
5.20;79;4;1953;2;65823
5.30;59;3;2019;5;89831
2.95;35;2;2008;6;84286
3.31;38;2;1928;3;87105
2.86;53;2;2000;1;53962
4.30;64;2;1933;1;67188
9.20;148;5;1892;3;62162
3.30;45;3;1954;1;73333
2.70;48;2;1965;3;56250
4.23;71;3;2001;3;59577
5.53;81;3;1929;3;68272
6.40;78;3;2018;7;82051
3.50;85;3;1955;1;41176
3.99;68;3;1958;2;58676
6.22;66;3;2018;14;94242
7.50;100;4;2018;4;75000
3.64;44;2;2015;4;82727
12.20;170;4;1892;4;71765
3.16;66;4;1952;2;47879
2.51;44;2;1970;7;57045
12.00;130;3;1914;3;92308
5.00;68;3;1951;2;73529
12.50;84;3;2018;7;148810
4.25;53;3;2018;5;80189
4.99;80;3;1897;1;62375
10.50;114;4;2019;6;92105
7.10;92;4;2018;3;77174
3.32;61;3;1953;2;54426
6.20;84;4;1897;4;73810
3.20;41;3;1898;3;78049
3.76;44;2;1941;3;85455
2.30;19;1;1890;2;121053
3.43;32;2;1952;3;107188
3.78;56;3;1936;2;67500
3.90;62;2;1965;7;62903
5.79;53;2;2009;9;109245
3.31;85;4;1972;7;38941
5.90;89;4;1903;2;66292
3.31;46;2;1950;1;71957
3.80;63;3;1936;3;60317
14.98;168;4;1919;2;89167
3.59;52;2;1975;2;69038
2.40;37;2;1975;2;64865
1.90;29;2;2005;1;65517
4.60;71;4;1956;8;64789
3.10;35;2;1939;3;88571
2.09;31;2;1968;7;67419
3.53;55;3;1965;2;64182
4.20;43;3;1892;2;97674
4.03;40;2;2018;1;100750
4.62;67;2;1933;2;68955
